C:\Data\LAS RQ34 zip code submissions\R_0JskSAGaAoNDDMJ_Zipcode_task.xls: 2 incorrect
C:\Data\LAS RQ34 zip code submissions\R_29fRICLDKAKnJQW_Zipcode_task_edited.xls: 3 incorrect
Cell C34, Input: 01640, Correct:90503--1640
Cell C37, Input: , Correct:M1S 4X4
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_29m5jlQAIdv72f9_Zipcode_task.xls: 3 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C37, Input: S 4X4, Correct:M1S 4X4
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_2AGuEjcn1ZsFa6r_Zipcode_task_complete_A1THXHPVWVEWNZ.xls: 2 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_2anRDciTRT0B35b_Copy_of_Zipcode_task.xls: 1 incorrect
Cell C34, Input: 90503-1640, Correct:90503--1640

C:\Data\LAS RQ34 zip code submissions\R_2AR7CwW4ncVj6tP_Copy_of_Zipcode_task.xls: 3 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C37, Input: M1S4x4, Correct:M1S 4X4
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_2awUeTgnbuMKyDZ_Zipcode_task.xls: 2 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_2BezgGWMDhQe2zQ_Zipcode_task.xls: 1 incorrect
Cell C34, Input: 90503-1649, Correct:90503--1640

C:\Data\LAS RQ34 zip code submissions\R_2BwYe892mZGU2gY_Zipcode_task.xlsx: 2 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_2c7KqueikfIHdOR_Zipcode_task.xls: 2 incorrect
Cell C34, Input: 90503, Correct:90503--1640
Cell C41, Input: 33431, Correct:33431-6375

C:\Data\LAS RQ34 zip code submissions\R_2ci2xxKaZjoIB4m_Copy_of_File.xls: 1 incorrect
Cell C34, Input: 90503-1640, Correct:90503--1640

C:\Data\LAS RQ34 zip code submissions\R_2DZ9SuGarWn5hUe_Zipcode_task.xls: 50 incorrect
Cell C2, Input: , Correct:43403
Cell C3, Input: , Correct:43403
Cell C7, Input: 8543, Correct:08543
Cell C9, Input: , Correct:43403
Cell C10, Input: , Correct:43403
Cell C11, Input: , Correct:43403
Cell C12, Input: , Correct:43403
Cell C13, Input: , Correct:43403
Cell C14, Input: , Correct:43403
Cell C15, Input: , Correct:43403
Cell C16, Input: , Correct:43403
Cell C17, Input: , Correct:43403
Cell C18, Input: , Correct:43403
Cell C19, Input: , Correct:43403
Cell C20, Input: , Correct:43403
Cell C21, Input: , Correct:43403
Cell C22, Input: , Correct:43403
Cell C23, Input: , Correct:43403
Cell C24, Input: , Correct:43403
Cell C25, Input: , Correct:43403
Cell C26, Input: , Correct:43403
Cell C27, Input: , Correct:43403
Cell C28, Input: 7726, Correct:07726
Cell C31, Input: 40036, Correct:10036
Cell C34, Input: 90503, Correct:90503--1640
Cell C35, Input: , Correct:43403
Cell C37, Input: M154X4, Correct:M1S 4X4
Cell C40, Input: 8543, Correct:08543
Cell C41, Input: 33431, Correct:33431-6375
Cell C42, Input: , Correct:43403
Cell C43, Input: , Correct:43403
Cell C44, Input: , Correct:43403
Cell C45, Input: , Correct:43403
Cell C46, Input: , Correct:43403
Cell C47, Input: , Correct:43403
Cell C48, Input: , Correct:43403
